x y z
-8.04843 -96.2539 0.718651
-8.52778 -96.3037 0.702178
-8.94378 -95.6918 0.598632
-9.20771 -94.8738 0.27674
-10.3522 -94.648 -0.430222
-10.8554 -94.4449 -0.95476
-21.2767 -97.9262 0.988747
-21.7768 -97.5926 1.47264
-5.87247 -96.7345 0.076795
-6.68474 -97.1788 -0.204268
-7.84861 -96.9104 -0.003565
-8.71092 -96.5332 0.167495
-9.24705 -95.4487 -0.284525
-9.74023 -95.0949 -0.713481
-10.3844 -94.7462 -1.25158
-11.3827 -94.48 -1.4851
-12.4049 -94.3174 -1.49587
-21.0612 -98.0635 -0.853411
-21.3948 -97.8623 -0.148343
-5.43263 -96.7231 -0.729627
-6.19544 -97.2459 -1.14552
-8.5184 -97.0307 -0.304901
-8.80856 -97.0127 -0.853721
-10.0178 -95.2476 -1.42061
-10.5713 -95.2215 -2.0843
-11.5383 -95.026 -2.36043
-12.3096 -94.6673 -2.19459
-20.7903 -98.2165 -1.68986
-23.323 -97.8877 -2.82719
-23.7262 -97.6955 -2.64656
-5.41588 -96.9881 -1.93059
-6.27582 -97.3752 -2.00588
-8.82809 -97.2182 -2.08209
-9.34921 -96.7675 -2.11194
-10.7113 -95.7535 -3.06442
-11.334 -95.2701 -3.1261
-12.1637 -94.8541 -3.17041
-20.8465 -97.9478 -3.8557
-20.809 -98.0997 -3.20897
-21.7611 -98.1911 -3.64429
-22.514 -98.1199 -3.2868
-23.9431 -97.6477 -3.06511
-3.56509 -96.4296 -3.56665
-4.68476 -97.0851 -3.24112
-5.61783 -97.2456 -2.57601
-9.03869 -97.6508 -3.03396
-9.29176 -96.9283 -3.14636
-10.9983 -95.546 -4.11766
-11.8819 -95.0752 -4.06851
-13.1296 -94.8712 -3.92236
-20.8332 -97.8644 -4.3815
-20.7737 -98.1014 -4.09477
-21.5376 -98.1796 -4.28963
-22.8288 -98.203 -3.9653
-23.9538 -97.6665 -3.66003
-3.62042 -96.7338 -4.61996
-4.44759 -97.2593 -4.29954
-9.12672 -97.7922 -3.98818
-9.45643 -97.4289 -4.13221
-10.6362 -95.8126 -4.8689
-11.2695 -95.2338 -4.95507
-12.6785 -95.1428 -4.86144
-20.6328 -97.8469 -5.04829
-20.7375 -98.0536 -4.90785
-21.0722 -98.02 -5.11112
-21.7607 -98.2327 -5.19313
-23.3134 -98.1738 -4.52407
-3.56443 -96.5167 -6.11325
-3.87863 -95.0178 -7.01908
-8.99882 -97.9026 -5.26023
-9.57062 -97.6397 -5.05924
-10.7846 -95.5175 -5.78476
-11.8683 -95.2316 -5.72607
-13.0394 -94.9029 -5.62074
-20.4684 -97.7583 -5.85932
-20.7041 -97.9772 -5.42698
-20.5422 -97.8917 -5.76332
-20.7093 -98.029 -6.31878
-24.2915 -97.7333 -4.50238
-24.1897 -98.1386 -5.70251
-25.035 -97.9437 -6.15418
-25.4563 -97.7582 -6.56434
-3.55729 -95.8951 -7.19683
-4.17328 -94.7226 -7.55979
-4.24605 -94.479 -7.83985
-9.61499 -98.0548 -6.22187
-9.71794 -97.3436 -6.20884
-10.7373 -95.5824 -6.42037
-11.0559 -95.1822 -6.45821
-12.3776 -94.9591 -6.49612
-20.3111 -97.5641 -7.05586
-21.2184 -98.0211 -6.91665
-21.7825 -98.1363 -7.27925
-23.365 -98.2625 -7.02427
-24.1826 -98.1258 -7.12009
-25.0091 -97.9161 -7.23428
-3.58592 -96.3818 -7.78698
-4.00221 -95.1118 -7.94148
-4.30246 -94.3055 -8.00615
-8.88704 -97.911 -7.26206
-9.8456 -97.7497 -7.21183
-10.2594 -96.32 -7.54249
-10.6042 -95.7358 -7.09978
-11.4908 -95.1446 -7.25296
-12.5363 -94.7158 -7.25927
-19.9171 -97.4223 -7.81602
-21.1919 -97.7409 -7.6928
-21.986 -97.9672 -7.96361
-23.0993 -97.9241 -8.27752
-24.2709 -97.8443 -8.15904
-25.0864 -97.7543 -8.06053
-3.44817 -95.5854 -8.66971
-3.83991 -94.921 -8.39324
-8.9633 -97.6194 -8.21476
-9.31576 -97.1406 -8.06467
-10.1796 -96.2921 -7.88589
-10.3415 -96.0915 -8.05786
-10.7809 -95.4546 -8.01641
-11.5866 -94.7966 -8.01318
-19.6117 -97.5949 -9.10896
-19.7302 -97.5268 -8.41907
-23.1609 -97.6578 -8.95314
-23.6061 -97.625 -9.07243
-24.6346 -97.5826 -9.02592
-3.23186 -96.3664 -9.29798
-3.60965 -97.0645 -9.72306
-8.37416 -97.6851 -9.43638
-9.38607 -97.5463 -9.01326
-9.89322 -96.4233 -9.45292
-10.1469 -95.8233 -8.86241
-10.939 -95.1895 -8.76232
-11.9589 -94.6025 -8.85279
-19.6189 -98.0058 -9.763
-2.79415 -96.2322 -10.2757
-3.90445 -97.106 -10.5683
-5.13441 -97.6385 -10.9835
-6.64258 -97.733 -11.0288
-7.70475 -97.6227 -10.3161
-9.83634 -96.0766 -9.96195
-10.3844 -95.4762 -9.5277
-11.2949 -94.9117 -9.45395
-12.018 -94.4838 -9.6301
-20.0248 -97.7154 -10.078
-20.5628 -97.4463 -10.7215
-21.6475 -96.596 -10.8767
-22.1076 -96.0433 -11.1187
-2.98215 -96.4529 -11.1006
-3.89426 -96.9096 -11.5391
-5.19878 -97.3113 -11.7883
-6.09799 -97.4575 -11.7644
-8.77119 -96.663 -11.4738
-9.1414 -96.4623 -11.0267
-9.9004 -95.7658 -10.5698
-10.9873 -95.1803 -10.1996
-11.5749 -94.5851 -9.79938
-20.5396 -97.6462 -11.6211
-21.3205 -97.1371 -11.5657
-22.2277 -96.3327 -12.021
-8.06699 -97.5034 -12.9738
-8.46721 -96.8379 -12.0945
-9.0767 -95.894 -11.571
-9.98075 -95.1737 -10.9807
-10.9039 -94.9921 -10.6395
-22.0965 -96.3367 -13.2588
-6.69263 -97.8296 -15.1075
-7.35304 -97.37 -13.4377
-7.99231 -96.1807 -12.2437
-8.97048 -95.5039 -11.833
-9.67789 -95.1834 -11.5301
-21.3774 -96.3982 -14.7645
-21.987 -95.9027 -14.1679
-6.63218 -97.4332 -16.4796
-20.2469 -96.3884 -16.7475
-20.8163 -96.1789 -15.7876
-21.5695 -95.6294 -14.916
-7.17815 -97.3803 -17.385
-7.9202 -97.4131 -18.6594
-9.22922 -97.7254 -19.2032
-10.6191 -97.8435 -19.6042
-12.0389 -98.0541 -19.6871
-13.0068 -98.0677 -19.975
-17.1334 -97.0798 -20.2168
-18.2588 -96.4626 -19.1975
-19.6316 -96.2687 -17.6841
-20.2626 -95.5773 -16.7603
-7.79887 -97.1509 -19.6249
-8.46146 -97.0027 -19.7741
-10.0277 -97.0114 -20.3811
-11.6023 -97.4645 -20.7596
-13.2955 -97.7319 -21.0156
-14.9663 -97.3126 -21.5861
-16.3382 -96.6315 -21.4163
-17.3276 -96.3813 -20.6184
-11.2173 -96.7936 -21.1093
-12.4323 -96.9673 -21.4902
-13.7868 -96.9832 -21.7759
-15.1835 -96.5893 -21.9074
-15.9517 -96.2283 -21.9459
-11.3146 -94.8279 11.2669
-12.087 -94.906 11.6535
-12.7347 -94.8518 11.9319
-10.0192 -94.9189 10.0424
-10.8391 -95.0269 10.5829
-11.9969 -95.2469 10.9274
-13.2834 -95.197 11.3873
-14.6472 -95.2473 11.4808
-15.3791 -95.0397 11.7857
-9.7238 -95.0392 9.44844
-10.7439 -95.3506 9.71941
-11.6939 -95.4993 10.1522
-12.8665 -95.6712 10.3822
-14.517 -95.781 10.4305
-15.8779 -95.2052 11.216
-8.81841 -94.6629 8.4994
-9.41448 -95.1172 8.81676
-10.2356 -95.367 9.11849
-15.216 -96.1661 9.6011
-16.3238 -95.6976 9.98805
-17.4874 -95.6912 9.45789
-18.2302 -95.8519 8.83967
